Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Extracurricular_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Living_Arrangement,Monthly_Budget_ETB,Attendance_Rate_Percent,Stress_Level,GPA
32,7.7,7.0,5.4,2.1,1.8,Dormitory,7990.0,80.0,Low,3.67
33,7.2,7.3,5.6,2.1,1.8,Dormitory,7190.0,29.2,High,2.99
34,8.5,6.3,4.8,2.0,2.4,With Family,3401.0,53.9,Moderate,3.72
35,9.7,3.4,1.3,8.8,0.8,With Family,2315.0,19.8,Moderate,2.81
36,12.3,6.1,2.8,2.0,0.8,Dormitory,3358.0,86.2,Low,3.97
37,5.1,6.3,2.1,6.8,3.7,With Family,8415.0,89.9,Low,4.0
38,10.1,8.8,3.1,2.0,0.0,Dormitory,7708.0,3.1,High,3.12
39,10.5,6.0,2.7,1.9,2.9,With Family,2516.0,91.8,High,3.8
40,3.2,7.0,6.7,3.7,3.4,With Family,5092.0,46.6,Low,3.16
41,11.2,7.7,1.2,2.0,1.9,Dormitory,5667.0,35.4,Low,3.87
42,5.7,9.4,1.7,5.2,2.0,Dormitory,7212.0,63.7,Moderate,3.73
43,11.5,3.8,1.6,3.8,3.3,With Family,2671.0,93.7,Low,4.0
44,7.9,7.9,5.1,2.1,1.0,Dormitory,2202.0,39.1,Low,2.87
45,6.1,4.1,4.1,8.8,0.9,With Family,4836.0,55.2,Low,3.06
46,4.3,5.9,4.0,9.3,0.5,Dormitory,1517.0,42.9,Moderate,2.39
47,6.0,6.6,4.7,6.5,0.2,With Family,7345.0,89.4,Moderate,3.72
48,8.5,4.8,6.3,2.0,2.4,Dormitory,5019.0,14.3,Moderate,2.85
49,11.8,3.9,5.5,2.0,0.8,With Family,6487.0,32.5,High,3.53
50,3.2,8.1,1.8,7.6,3.3,Dormitory,9256.0,72.9,Low,4.0
51,8.0,9.8,2.7,3.4,0.1,Dormitory,6068.0,4.6,High,2.76
52,3.2,8.9,0.9,10.0,1.0,With Family,7357.0,55.8,Low,3.73
53,3.0,9.3,5.6,4.3,1.8,With Family,7966.0,34.9,Moderate,3.11
54,6.4,6.9,5.6,2.1,3.0,Dormitory,9225.0,70.6,High,3.74
55,9.6,6.3,1.7,4.4,2.0,With Family,2737.0,31.2,High,3.17
56,8.7,7.1,4.9,2.0,1.3,With Family,6094.0,69.5,High,3.71
57,9.8,8.9,1.8,1.7,1.8,With Family,5293.0,42.3,Moderate,3.72
58,1.9,9.3,3.7,7.4,1.7,Dormitory,1837.0,16.9,Moderate,2.18
59,11.5,7.9,0.1,3.1,1.4,With Family,2960.0,35.7,Moderate,3.52
60,3.9,5.1,0.7,10.6,3.7,With Family,9551.0,67.4,Low,4.0
61,3.8,5.7,7.7,3.6,3.2,Dormitory,4584.0,49.7,Moderate,2.57
62,5.0,3.9,6.4,5.0,3.7,Dormitory,5951.0,86.8,High,3.15
63,12.8,7.6,1.4,1.1,1.1,Dormitory,6694.0,79.5,Moderate,4.0
64,8.4,6.2,0.7,5.5,3.2,Dormitory,5187.0,13.3,High,3.18
65,9.4,6.5,4.6,2.0,1.5,Dormitory,5506.0,93.8,Low,4.0
66,3.9,7.9,1.4,8.3,2.5,With Family,6253.0,81.1,Low,3.84
67,6.8,7.0,1.3,7.2,1.7,With Family,9616.0,45.7,Moderate,3.88
68,8.2,7.5,1.6,6.4,0.3,With Family,4369.0,93.2,Moderate,3.68
69,8.4,6.1,6.4,1.9,1.2,With Family,3918.0,9.5,Low,3.06
70,9.9,7.5,3.7,1.9,1.0,With Family,9420.0,43.1,High,4.0
71,1.4,5.4,4.0,12.0,1.2,With Family,8789.0,59.2,High,2.9
72,1.0,4.7,5.9,10.2,2.2,Dormitory,7547.0,23.1,Low,2.65
73,7.9,5.2,5.7,3.2,2.0,Dormitory,2005.0,39.7,High,2.49
74,5.2,4.0,6.8,5.2,2.8,Dormitory,8799.0,8.6,Low,3.08
75,7.1,7.3,2.7,4.2,2.7,With Family,2637.0,22.3,Low,3.04
76,13.8,4.2,0.8,1.5,3.7,Dormitory,3437.0,92.3,Low,4.0
77,8.6,7.2,5.9,2.0,0.3,With Family,4281.0,31.0,Low,3.45
78,7.2,3.2,2.4,9.5,1.7,Dormitory,5634.0,62.8,Moderate,3.32
79,2.1,9.2,2.5,8.3,1.9,With Family,2956.0,9.1,Low,2.74
80,2.8,3.4,7.1,10.6,0.1,With Family,3921.0,53.4,Moderate,2.49
81,10.1,9.6,1.0,2.5,0.8,With Family,9690.0,71.5,High,4.0
82,11.0,6.8,3.0,2.1,1.1,With Family,2459.0,21.0,Moderate,3.38
83,8.0,6.5,5.1,2.0,2.4,Dormitory,3916.0,56.1,High,3.09
84,8.9,6.8,1.9,5.3,1.1,Dormitory,1763.0,89.2,High,3.28
85,1.0,9.3,6.9,4.7,2.1,Dormitory,2364.0,34.2,High,2.13
86,8.7,7.2,3.5,1.9,2.7,With Family,4287.0,64.2,High,3.97
87,11.5,4.9,0.5,5.2,1.9,With Family,7834.0,64.1,High,4.0
88,6.1,7.3,6.0,2.0,2.6,With Family,1645.0,69.1,Low,3.63
89,10.5,5.6,5.8,2.0,0.1,With Family,2209.0,12.1,Low,3.03
90,8.5,7.5,4.8,2.0,1.2,Dormitory,7058.0,1.7,Moderate,2.95
91,13.0,3.7,2.5,1.5,3.3,Dormitory,3784.0,7.1,High,3.15
92,2.5,9.9,1.5,9.8,0.3,With Family,1837.0,89.2,High,2.86
93,10.3,4.4,6.8,2.0,0.5,Dormitory,4988.0,3.8,Low,2.67
94,12.0,6.6,2.9,2.0,0.5,With Family,6292.0,99.9,Low,4.0
95,7.3,3.2,2.0,9.2,2.3,Dormitory,4634.0,41.5,Moderate,2.9
96,2.3,6.9,2.9,11.7,0.2,Dormitory,4661.0,67.4,Moderate,2.96
97,13.3,7.8,0.2,1.0,1.7,With Family,5803.0,91.2,High,4.0
98,8.8,3.7,4.9,2.8,3.8,With Family,6526.0,4.8,High,3.09
99,1.6,5.0,5.4,9.6,2.4,With Family,5982.0,43.6,High,2.7
100,2.3,5.0,4.8,10.9,1.0,With Family,9269.0,6.4,High,2.71
101,4.6,4.1,0.9,10.4,4.0,Dormitory,5709.0,8.4,High,2.68
102,4.6,3.2,1.5,13.6,1.1,With Family,2866.0,66.0,High,2.96
103,10.5,4.7,0.8,4.3,3.7,With Family,8295.0,86.1,Moderate,4.0
104,9.4,6.2,2.7,5.0,0.7,With Family,8988.0,81.7,High,3.91
105,3.2,9.3,1.8,6.9,2.8,With Family,9884.0,95.2,High,4.0
106,9.7,3.1,2.3,8.1,0.8,With Family,4936.0,47.0,High,3.09
107,10.9,5.8,2.5,3.0,1.8,With Family,4764.0,76.3,Low,4.0
108,8.0,7.4,1.1,5.8,1.7,Dormitory,2998.0,48.9,Moderate,3.0
109,6.5,9.1,0.9,6.8,0.7,Dormitory,2188.0,81.2,Low,3.62
110,10.1,3.1,3.5,5.2,2.1,Dormitory,3765.0,67.0,Low,3.25
111,1.4,9.4,5.6,4.7,2.9,Dormitory,8038.0,59.7,High,3.0
112,9.7,5.1,7.4,1.4,0.4,Dormitory,9816.0,1.9,Low,3.03
113,4.2,3.8,0.9,12.2,2.9,Dormitory,7868.0,60.8,Low,3.38
114,4.8,3.4,3.8,9.2,2.8,With Family,7326.0,50.9,Low,3.4
115,8.4,4.5,6.4,1.9,2.8,With Family,6166.0,7.4,Moderate,3.11
116,10.4,7.4,3.5,2.1,0.6,With Family,3078.0,59.0,High,3.27
117,11.1,4.3,3.6,4.2,0.8,Dormitory,3626.0,73.8,High,3.04
118,2.2,5.3,3.7,12.5,0.3,Dormitory,7491.0,93.9,Low,3.25
119,10.6,6.1,3.0,2.0,2.3,Dormitory,1527.0,14.4,Moderate,3.1
120,2.1,3.4,6.7,11.4,0.4,Dormitory,5322.0,67.1,Low,2.5
121,5.8,6.5,6.8,2.0,2.9,Dormitory,5493.0,84.0,High,3.02
122,12.7,3.6,2.6,1.1,4.0,Dormitory,6545.0,3.1,High,3.05
123,5.5,4.5,0.7,10.9,2.4,With Family,1638.0,21.6,Low,2.87
124,7.7,9.6,1.9,2.0,2.8,Dormitory,5181.0,76.8,Moderate,3.76
125,11.1,7.3,2.7,2.0,0.9,With Family,8207.0,55.2,Moderate,4.0
126,7.2,8.4,2.3,3.7,2.4,Dormitory,8950.0,87.5,Low,4.0
127,5.1,9.3,3.7,3.5,2.4,Dormitory,7984.0,83.7,High,3.47
128,10.9,3.3,1.7,7.8,0.3,With Family,5632.0,43.4,Moderate,3.59
129,8.2,4.3,6.3,4.3,0.9,Dormitory,2210.0,35.2,Low,2.79
130,3.5,6.1,7.0,6.0,1.4,Dormitory,9205.0,71.3,High,2.87
131,11.9,5.8,0.0,2.6,3.7,With Family,6648.0,47.2,Low,4.0
132,9.4,3.6,3.1,7.7,0.2,Dormitory,4886.0,84.4,Low,3.6
133,7.8,5.7,5.3,4.0,1.2,With Family,9316.0,9.3,High,3.2
134,8.5,6.4,7.2,1.3,0.6,With Family,8634.0,5.3,High,2.86
135,11.7,7.7,0.6,1.9,2.1,Dormitory,4675.0,55.6,High,3.58
136,10.9,3.7,6.7,2.1,0.6,Dormitory,6435.0,15.6,Moderate,3.0
137,11.5,4.1,3.7,2.0,2.7,Dormitory,5061.0,29.6,Moderate,3.34
138,10.5,3.6,7.1,2.1,0.7,With Family,4320.0,56.6,High,2.86
139,9.7,5.6,6.2,2.0,0.5,Dormitory,9139.0,68.0,High,3.56
140,1.2,6.1,3.3,10.0,3.4,With Family,3613.0,29.0,High,2.53
141,8.1,7.2,3.3,4.9,0.5,With Family,2827.0,46.6,High,3.05
142,12.6,5.2,4.2,1.8,0.2,With Family,1771.0,74.7,Low,3.52
143,3.3,8.6,6.7,2.8,2.6,Dormitory,2866.0,22.9,High,2.3
144,8.1,5.4,0.5,9.5,0.5,With Family,1766.0,70.0,Low,3.59
145,1.8,9.2,0.8,8.4,3.8,With Family,5172.0,13.0,High,2.95
146,9.4,4.3,5.8,2.1,2.4,With Family,5752.0,26.1,Moderate,3.19
147,12.5,4.6,1.6,2.0,3.3,With Family,2181.0,20.4,Low,3.55
148,5.7,8.2,5.3,2.2,2.6,With Family,9454.0,59.4,Low,4.0
149,4.4,8.5,1.6,8.6,0.9,With Family,2847.0,64.0,Low,3.34
150,11.1,7.9,2.2,2.0,0.8,With Family,2012.0,47.2,High,3.56
151,12.3,4.8,2.8,3.0,1.1,With Family,9573.0,28.0,High,3.9
152,10.9,6.5,1.9,2.1,2.6,With Family,5056.0,74.7,Moderate,4.0
153,9.7,4.6,5.6,3.5,0.6,With Family,6323.0,72.3,Moderate,3.59
154,10.4,3.5,0.8,6.4,2.9,With Family,8243.0,70.0,Low,4.0
155,2.7,8.7,3.8,6.7,2.1,Dormitory,5417.0,31.4,High,2.73
156,3.9,3.0,0.1,16.1,0.9,Dormitory,5270.0,30.7,High,2.43
157,9.9,4.0,5.3,2.1,2.7,With Family,2095.0,55.6,Low,3.33
158,1.3,7.1,2.1,13.2,0.3,With Family,9980.0,20.7,High,3.11
159,7.9,7.2,5.6,2.1,1.2,Dormitory,9040.0,4.0,High,2.93
160,2.0,3.1,1.0,14.2,3.7,Dormitory,2989.0,41.1,Moderate,2.42
161,10.3,5.4,5.1,2.0,1.2,With Family,4257.0,4.7,Moderate,3.12
162,1.7,3.2,0.2,18.4,0.5,With Family,3845.0,9.0,Low,2.41
163,5.7,9.5,0.2,4.7,3.9,With Family,9275.0,81.9,High,4.0
164,9.5,8.3,4.2,1.3,0.7,Dormitory,8695.0,25.5,Low,3.69
165,9.6,4.4,5.9,1.9,2.2,With Family,6302.0,12.9,High,3.26
166,6.7,6.3,2.4,8.6,0.0,With Family,2308.0,43.4,Low,3.25
167,8.0,8.5,1.9,1.9,3.7,With Family,5633.0,97.0,Moderate,4.0
168,3.1,8.3,0.2,9.4,3.0,Dormitory,4701.0,35.3,Moderate,2.97
169,11.5,7.3,1.4,2.0,1.8,With Family,4575.0,22.0,High,3.3
170,5.6,8.6,1.2,6.6,2.0,Dormitory,9338.0,41.7,High,3.3
171,9.4,6.3,4.4,1.9,2.0,Dormitory,6033.0,15.1,Moderate,3.32
172,2.9,6.4,2.4,11.4,0.9,With Family,9705.0,20.6,Moderate,3.31
173,7.7,9.2,1.3,2.9,2.9,Dormitory,8292.0,7.6,Moderate,3.64
174,4.6,7.1,2.7,8.6,1.0,Dormitory,4085.0,13.1,Moderate,2.43
175,9.9,6.9,3.2,2.0,2.0,With Family,5975.0,28.0,Moderate,3.89
176,4.0,8.7,6.4,2.1,2.8,With Family,3419.0,91.7,High,3.37
177,11.3,6.2,3.4,2.0,1.1,Dormitory,8071.0,52.6,Moderate,3.92
178,8.7,8.8,0.7,2.1,3.7,Dormitory,3639.0,57.9,High,3.65
179,11.0,5.1,0.1,6.1,1.7,With Family,3677.0,40.5,High,3.25
180,12.0,4.7,2.7,1.3,3.3,With Family,5953.0,17.1,Moderate,3.73
181,2.6,8.4,2.1,8.9,2.0,Dormitory,7251.0,76.4,Low,3.7
182,6.0,7.3,6.2,2.0,2.5,Dormitory,1656.0,85.0,Moderate,3.19
183,3.8,5.3,1.6,10.0,3.3,With Family,4565.0,99.8,Low,3.61
184,5.2,7.7,6.0,2.0,3.1,Dormitory,2655.0,96.6,Moderate,3.2
185,8.0,6.5,5.5,2.0,2.0,With Family,5933.0,32.4,Moderate,3.69
186,2.0,8.4,1.1,12.1,0.4,Dormitory,2369.0,19.2,Moderate,2.18
187,1.4,3.4,5.4,11.0,2.8,With Family,9282.0,94.2,Low,3.69
188,8.3,6.1,4.4,1.4,3.8,Dormitory,6190.0,79.1,Low,3.85
189,11.6,3.3,4.1,3.2,1.8,Dormitory,7863.0,91.2,Low,4.0
190,5.1,7.7,2.6,5.1,3.5,Dormitory,7574.0,8.0,High,2.89
191,8.0,3.5,3.9,7.2,1.4,With Family,5086.0,9.2,Moderate,2.92
192,9.1,7.7,2.6,3.0,1.6,Dormitory,2668.0,67.6,Moderate,3.45
193,5.9,6.0,0.7,9.5,1.9,Dormitory,7874.0,82.0,Moderate,3.77
194,4.9,9.2,1.0,7.0,1.9,Dormitory,7803.0,76.5,High,3.79
195,6.2,3.3,1.7,11.1,1.7,With Family,1922.0,1.5,High,2.47
196,9.8,3.8,0.2,7.9,2.3,Dormitory,9195.0,26.9,Moderate,3.54
197,6.1,4.2,1.4,8.5,3.8,With Family,5227.0,84.7,High,3.51
198,10.9,6.3,0.9,2.4,3.5,With Family,9459.0,4.7,Moderate,4.0
199,2.0,7.3,7.7,3.4,3.6,With Family,8448.0,49.4,Low,3.5
200,4.3,3.6,7.1,5.7,3.3,Dormitory,7197.0,75.2,Low,3.31
201,6.4,6.7,6.2,3.8,0.9,With Family,5141.0,62.9,Moderate,3.26
202,10.3,4.4,4.9,1.9,2.5,Dormitory,3067.0,9.5,High,2.64
203,7.6,6.0,6.0,2.0,2.4,With Family,3895.0,46.7,Low,3.38
204,3.1,7.1,1.5,12.2,0.1,With Family,1539.0,25.0,Low,2.7
205,12.3,3.7,2.8,4.9,0.3,With Family,6580.0,60.2,Low,3.94
206,9.9,7.9,3.7,2.1,0.4,Dormitory,1676.0,72.1,Moderate,3.46
207,10.6,5.0,4.4,2.0,2.0,Dormitory,7645.0,59.9,Low,4.0
208,7.6,5.2,1.4,7.8,2.0,Dormitory,4250.0,55.1,High,3.0
209,13.5,3.8,2.2,3.6,0.9,With Family,8330.0,85.8,High,4.0
210,5.9,7.1,1.4,6.4,3.2,Dormitory,6026.0,97.1,Low,3.82
211,13.1,4.8,0.8,1.8,3.5,With Family,4408.0,43.8,Moderate,4.0
212,1.2,3.2,6.1,10.8,2.7,With Family,6698.0,4.4,High,2.19
213,6.6,7.3,1.4,7.5,1.2,With Family,2029.0,62.2,Moderate,3.36
214,9.5,8.2,2.3,2.1,1.9,Dormitory,1663.0,81.9,Moderate,3.55
215,8.2,3.4,3.2,9.0,0.2,With Family,3203.0,84.5,High,2.94
216,11.4,3.7,5.3,2.0,1.6,With Family,7077.0,29.0,Moderate,3.82
217,12.1,3.4,3.0,2.1,3.4,Dormitory,6531.0,23.5,Moderate,3.58
218,5.4,3.4,1.7,10.0,3.5,Dormitory,6469.0,93.1,Moderate,3.67
219,9.5,7.4,3.0,2.1,2.0,Dormitory,2759.0,25.5,Low,3.35
220,1.9,7.5,2.1,11.9,0.6,Dormitory,8314.0,3.3,Low,2.66
221,4.7,6.9,0.1,9.2,3.1,With Family,7323.0,7.6,High,3.39
222,11.0,4.5,2.0,3.6,2.9,With Family,6600.0,68.2,High,3.94
223,5.3,3.4,1.8,12.7,0.8,Dormitory,4569.0,63.0,Moderate,2.78
224,8.0,3.6,6.5,3.5,2.4,Dormitory,4612.0,0.8,High,2.27
225,7.7,3.4,4.4,5.4,3.1,With Family,2061.0,54.3,High,2.89
226,3.3,6.5,6.6,4.4,3.2,Dormitory,9867.0,34.8,Low,3.09
227,3.6,8.1,2.4,8.4,1.5,With Family,4058.0,56.6,Moderate,3.38
228,4.2,7.5,1.6,8.9,1.8,With Family,9165.0,3.3,Moderate,3.28
229,3.4,7.5,6.0,4.4,2.7,Dormitory,6269.0,22.2,High,2.68
230,11.2,4.3,1.3,6.3,0.9,With Family,3335.0,11.4,Low,3.34
231,5.5,5.5,0.4,10.7,1.9,With Family,1538.0,97.8,Moderate,3.43
232,9.9,4.7,7.2,1.6,0.6,Dormitory,9600.0,9.7,High,2.74
233,1.9,4.6,4.8,10.6,2.1,Dormitory,8886.0,14.9,High,2.34
234,7.4,9.7,0.2,3.3,3.4,Dormitory,4835.0,74.5,High,3.6
235,10.5,2.9,7.0,1.9,1.7,Dormitory,9090.0,1.2,Moderate,2.91
236,6.6,5.3,5.2,3.7,3.2,Dormitory,8284.0,58.0,Low,3.42
237,9.2,7.2,3.1,2.0,2.5,With Family,2348.0,64.6,Low,3.85
238,10.5,4.1,5.3,1.9,2.2,Dormitory,7241.0,2.0,High,2.88
239,12.4,7.6,1.9,2.0,0.1,With Family,4878.0,81.5,High,3.97
240,11.0,2.6,6.5,2.0,1.9,With Family,1534.0,54.7,High,2.83
241,9.1,6.9,5.5,2.0,0.5,With Family,5572.0,86.5,High,3.83
242,11.4,6.8,3.6,2.0,0.2,With Family,8647.0,1.1,High,3.64
243,5.2,5.7,7.1,3.4,2.6,With Family,2078.0,67.5,High,2.53
244,11.0,3.8,5.4,1.2,2.6,Dormitory,8471.0,13.3,High,3.25
245,6.7,6.2,0.9,6.3,3.9,Dormitory,3185.0,34.3,High,2.76
246,2.9,4.3,6.0,6.8,4.0,Dormitory,3525.0,82.4,High,2.83
247,5.6,7.2,2.8,8.0,0.4,With Family,7442.0,18.4,Low,3.44
248,1.5,6.6,3.5,11.4,1.0,Dormitory,8716.0,68.9,Low,3.18
249,9.4,3.9,5.8,2.3,2.6,With Family,5351.0,80.7,Low,3.52
250,11.6,4.1,5.9,2.0,0.4,Dormitory,6578.0,95.6,Low,3.95
251,8.5,7.4,1.8,2.6,3.7,Dormitory,9029.0,65.1,Moderate,4.0
252,8.2,6.5,1.5,4.1,3.7,Dormitory,5382.0,45.1,Low,3.74
253,12.9,4.6,3.1,1.6,1.8,With Family,5192.0,44.2,Moderate,3.86
254,6.0,4.2,5.0,6.8,2.0,Dormitory,7464.0,94.5,Low,3.57
255,11.5,6.2,1.0,2.0,3.3,Dormitory,5000.0,95.2,High,4.0
256,7.8,4.1,4.5,5.0,2.6,Dormitory,5818.0,3.8,Moderate,2.82
257,3.4,8.6,6.8,1.9,3.3,With Family,6504.0,45.6,Moderate,3.44
258,1.1,9.3,1.0,9.5,3.1,Dormitory,2440.0,47.7,Low,2.89
259,8.7,8.5,3.0,2.0,1.8,Dormitory,4779.0,97.4,Low,3.82
260,11.3,4.8,3.4,1.9,2.6,With Family,5178.0,52.8,Low,3.95
261,9.9,5.4,5.7,2.0,1.0,With Family,6170.0,96.4,Low,4.0
262,9.1,6.2,5.4,1.7,1.6,With Family,5999.0,6.5,High,2.87
263,2.5,8.1,6.4,3.8,3.2,Dormitory,1804.0,14.4,Low,2.4
264,7.5,7.4,4.8,2.0,2.3,Dormitory,7318.0,9.9,Moderate,3.49
265,9.2,6.6,4.0,2.0,2.2,With Family,9598.0,38.0,Low,4.0
266,9.5,3.4,2.4,4.9,3.8,Dormitory,5155.0,17.8,Moderate,3.23
267,10.9,5.6,2.8,1.8,2.9,With Family,6463.0,29.1,Moderate,3.64
268,10.0,8.2,2.2,2.1,1.5,Dormitory,5802.0,89.2,Low,4.0
269,6.6,5.9,5.2,3.4,2.9,Dormitory,2518.0,98.5,High,2.91
270,1.7,3.7,0.5,17.2,0.9,With Family,7312.0,39.8,Low,3.22
271,3.6,5.6,0.7,12.6,1.5,Dormitory,8232.0,77.9,Moderate,3.28
272,13.2,3.8,0.5,3.7,2.8,With Family,5290.0,53.3,High,3.72
273,4.0,3.5,2.1,13.7,0.7,Dormitory,4876.0,67.3,Moderate,2.82
274,4.4,3.7,7.0,6.9,2.0,Dormitory,8628.0,80.2,Low,3.09
275,9.8,7.1,4.0,2.0,1.1,With Family,5174.0,30.5,Moderate,3.75
276,2.4,4.6,0.6,13.5,2.9,With Family,6468.0,88.4,Low,3.8
277,3.0,8.6,0.3,11.7,0.4,With Family,6845.0,82.8,Low,3.88
278,3.9,4.2,6.2,8.1,1.6,With Family,6315.0,54.3,High,2.84
279,9.8,7.8,3.5,2.1,0.8,Dormitory,8038.0,18.3,Low,3.93
280,9.6,3.1,1.8,8.8,0.7,Dormitory,2107.0,66.8,Low,3.24
281,8.5,5.4,7.9,1.7,0.5,With Family,7794.0,25.1,Low,3.14
282,3.5,6.6,1.8,9.9,2.2,Dormitory,7539.0,31.6,High,3.04
283,4.5,8.4,6.8,2.9,1.4,With Family,6175.0,63.8,Moderate,3.24
284,2.4,5.2,2.6,13.6,0.2,With Family,8384.0,15.3,High,2.77
285,11.6,4.3,2.5,4.1,1.5,Dormitory,4184.0,96.8,Moderate,3.49
286,5.1,5.2,7.6,4.4,1.7,Dormitory,4257.0,99.9,Moderate,2.75
287,10.0,4.7,2.3,3.9,3.1,With Family,1877.0,72.6,High,3.17
288,2.7,6.6,4.6,9.7,0.4,Dormitory,8526.0,69.1,High,2.82
289,7.8,5.7,5.4,2.0,3.1,Dormitory,6915.0,41.6,Low,3.51
290,3.5,9.3,5.0,4.6,1.6,With Family,7586.0,57.2,Moderate,3.39
291,9.3,5.0,3.8,5.9,0.0,Dormitory,7296.0,73.4,High,3.31
292,2.4,9.8,5.5,5.1,1.2,With Family,2775.0,74.4,High,2.95
293,3.4,5.6,7.9,6.6,0.5,Dormitory,5376.0,51.8,High,2.41
294,2.0,5.2,6.4,6.4,4.0,With Family,7135.0,29.0,Low,2.9
295,3.3,7.5,2.8,9.1,1.3,Dormitory,7414.0,39.3,High,2.77
296,2.6,5.7,6.0,9.3,0.4,Dormitory,6400.0,19.4,Low,2.31
297,4.4,4.0,7.2,5.6,2.8,Dormitory,4987.0,81.7,Low,2.89
298,5.7,3.4,7.5,6.0,1.4,With Family,7518.0,0.8,Moderate,2.86
299,7.8,7.3,6.7,1.4,0.8,With Family,1600.0,83.7,High,3.04
300,10.6,4.0,6.0,2.0,1.4,With Family,6285.0,30.2,Low,3.6
301,7.4,4.3,4.9,7.1,0.3,Dormitory,8800.0,76.3,Low,3.69
302,10.7,4.5,2.4,6.4,0.0,Dormitory,7905.0,27.5,Moderate,3.48
303,9.1,5.1,5.5,2.0,2.3,With Family,7393.0,72.4,Low,4.0
304,10.8,6.9,2.8,1.8,1.7,With Family,7574.0,74.7,Low,4.0
305,6.9,5.8,3.0,7.4,0.9,Dormitory,7245.0,78.1,High,3.47
306,9.7,5.5,4.5,1.9,2.4,With Family,2973.0,42.2,High,3.61
307,3.0,7.9,1.8,9.3,2.0,With Family,1553.0,92.1,Low,3.37
308,5.5,4.2,6.0,5.1,3.2,With Family,8927.0,91.0,Moderate,3.88
309,8.7,5.2,2.3,7.4,0.4,Dormitory,4173.0,35.0,Moderate,2.95
310,6.4,7.4,4.9,3.9,1.4,Dormitory,3476.0,75.5,Moderate,2.98
311,1.2,3.6,4.5,11.4,3.3,With Family,8779.0,15.2,Low,3.01
312,7.0,6.1,6.3,2.0,2.6,Dormitory,3440.0,85.4,Moderate,3.3
313,10.4,3.4,2.6,4.1,3.5,Dormitory,6742.0,87.8,Low,3.94
314,5.5,6.2,2.4,8.9,1.0,Dormitory,9220.0,32.8,High,3.04
315,4.9,3.8,6.9,5.7,2.7,With Family,7145.0,27.4,High,2.58
316,9.9,6.1,3.7,2.1,2.2,With Family,3631.0,99.1,Moderate,3.86
317,6.4,8.4,2.2,5.8,1.2,With Family,2355.0,44.2,High,3.11
318,7.7,8.7,0.7,5.5,1.4,With Family,7203.0,70.3,High,4.0
